Date,Source,Vendor (raw),Amount,Classification,Project/Category,Confirmed by Samantha,Notes
01/01/2026,Amex,WWP*TRIANGLE PEST COHOLLY SPRINGS NC,39.93,Repair/Maintenance (excluded),,,
01/05/2026,Chase,BEDROSIANS TILE &amp; STONE,17.69,Capital Improvement,,,
01/05/2026,Chase,PY *ClearDefense - Raleig,157.00,Repair/Maintenance (excluded),,,
01/11/2026,Chase,Nordic Knots Inc.,5.37,Excluded - Personal Property,,,
01/12/2026,Amex,BUILD.COM CHICO CA,314.01,Capital Improvement,,,
01/12/2026,Amex,VISUAL COMFORT 004 0HOUSTON TX,1737.46,Capital Improvement,,,
01/12/2026,Chase,HCM*SOUTHERN EXPOSURE SEE,50.96,Needs Review,,,
01/15/2026,Chase,THE HOME DEPOT 3634,75.65,Capital Improvement,,,
01/16/2026,Amex,SP CLEANSIMPLEEATS RIVERTON UT,61.14,Needs Review,,,
01/18/2026,Chase,WILLIAMS-SONOMA.COM,32.12,Excluded - Personal Property,,,
01/19/2026,Amex,SP MAHONESWALLPAPER LYNCHBURG VA,2327.92,Excluded - Personal Property,,,
01/20/2026,Amex,MEG BROWN HOME FURNIADVANCE NC,4002.57,Excluded - Personal Property,,,
01/20/2026,Amex,THE HOME DEPOT RALEIGH NC,23.01,Capital Improvement,,,
01/21/2026,Amex,BEDROSIANS TILE & STFRESNO CA,1287.15,Capital Improvement,,,
01/24/2026,Amex,LEGRAND SYRACUSE NY,240.91,Capital Improvement,,,
01/24/2026,Amex,THE CONTAINER STORE (800)733-3532 TX,170.54,Excluded - Personal Property,,,
01/25/2026,Amex,POLYLOK INC 00-08031WALLINGFORD CT,184.95,Capital Improvement,,,
01/27/2026,Amex,VISUAL COMFORT 004 0HOUSTON TX,964.62,Capital Improvement,,,
01/30/2026,Chase,BEST TILE RALEIGH,127.63,Capital Improvement,,,
01/30/2026,Chase,THE HOME DEPOT #3616,583.43,Capital Improvement,,,
02/02/2026,Amex,SP COLEY HOME CHARLOTTE NC,847.28,Excluded - Personal Property,,,
02/02/2026,Amex,WWP*TRIANGLE PEST COHOLLY SPRINGS NC,39.93,Repair/Maintenance (excluded),,,
02/03/2026,Chase,LOWES #00625*,15.05,Capital Improvement,,,
02/04/2026,Chase,LOWES #00625*,163.37,Capital Improvement,,,
02/05/2026,Chase,WILLIAMS-SONOMA.COM,32.47,Excluded - Personal Property,,,
02/05/2026,Chase,WILLIAMS-SONOMA.COM,0.55,Excluded - Personal Property,,,
02/08/2026,Amex,TWOPAGESCURTAINS SPOKANE WA,233.62,Excluded - Personal Property,,,
02/09/2026,Amex,IN *SOLUTIONS ELECTRCLAYTON NC,2900.00,Capital Improvement,,,
02/10/2026,Chase,LOWES #00625*,63.41,Capital Improvement,,,
02/14/2026,Chase,BEST TILE RALEIGH,116.91,Capital Improvement,,,
02/15/2026,Amex,RESTORATION HARDWARE844-252-0930 CA,234.88,Excluded - Personal Property,,,
